id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2384,Hyde Pk Private Bdrm -Walk to UChicago or Seminary,2613,Rebecca,,Hyde Park,41.78886,-87.58671,Private room,50,2,146,2019-04-14,2.81,1,305
4505,We're back. 365 Great Reviews.  1 bad one.,5775,Craig & Kathleen,,South Lawndale,41.85495,-87.69696,Entire home/apt,117,2,366,2018-11-24,2.97,1,317
7126,Tiny Studio Apartment 94 Walk Score,17928,Sarah,,West Town,41.90289,-87.68182,Entire home/apt,80,2,334,2019-03-25,2.80,1,319
9811,Barbara's Hideaway - Old Town,33004,At Home Inn,,Lincoln Park,41.91769,-87.63788,Entire home/apt,150,4,33,2018-10-14,0.54,12,326
10610,3 Comforts of Cooperative Living,2140,Lois And Ed,,Hyde Park,41.79708,-87.59195,Private room,35,2,36,2019-03-05,0.66,5,245
10945,The Biddle House (#1),33004,At Home Inn,,Lincoln Park,41.91183,-87.64,Entire home/apt,215,4,9,2018-11-05,0.15,12,263
12068,Chicago GOLD COAST 1 Bedroom Condo,40731,Dominic,,Near North Side,41.90452,-87.6332,Entire home/apt,99,165,9,2019-01-14,0.18,2,358
12140,Lincoln Park Guest House,46734,Sharon And Robert,,Lincoln Park,41.92335,-87.64951,Private room,289,2,4,2018-10-17,0.09,1,172
22362,*** Luxury in Chicago! 2BR/ 2Ba / Parking / BBQ **,85811,Craig,,West Town,41.89617,-87.66041,Entire home/apt,99,89,9,2014-10-12,0.14,1,281
24833,Private Apt 1 Block to Fullerton L Red Line - Deck,101521,Red,,Lincoln Park,41.92679,-87.65521,Entire home/apt,99,32,37,2018-07-29,0.34,4,237
25269,"Old Town, Furnished 2 bedroom: SWG",87231,Jeff And JoAnne,,Lincoln Park,41.91423,-87.63846,Entire home/apt,145,1,178,2019-01-20,1.65,13,110
25879,Top 2/1  Block to Fullerton L Red Line Deck & Yard,101521,Red,,Lincoln Park,41.92693,-87.65753,Entire home/apt,99,32,44,2019-03-12,0.41,4,215
37738,Andersonville - Perfect location!,162364,Mat And Randy,,Uptown,41.97385,-87.66539,Private room,74,3,241,2018-11-19,2.27,1,172
39742,Central guestroom! Walk everywhere!,170758,Eric,,Near North Side,41.89377,-87.63465,Private room,75,3,464,2019-03-23,4.48,1,6
44020,2 Bedroom 1 Block to Fullerton L - Garage Avail,101521,Red,,Lincoln Park,41.92673,-87.65731,Entire home/apt,80,32,50,2017-10-01,0.54,4,215
46151, Furnished Junior 1 Bedroom :SW1R,87231,Jeff And JoAnne,,Lincoln Park,41.91331,-87.63964,Entire home/apt,75,1,232,2019-03-10,2.22,13,217
46154,Old Town Lincoln Park studio: 2F,87231,Jeff And JoAnne,,Lincoln Park,41.91287,-87.63979,Entire home/apt,65,1,241,2019-04-07,2.32,13,157
56802,Beautiful 2 BR Old Town Lincoln Pk,87231,Jeff And JoAnne,,Lincoln Park,41.91264,-87.63979,Entire home/apt,155,1,249,2019-03-30,2.47,13,191
71930,"Rest, Relax and Explore",334241,Michael And Veronica,,West Town,41.89687,-87.67989,Private room,59,3,56,2019-03-18,0.58,2,148
79101,5★Cubs/Riviera/AragonTRAIN2Bdrms/Ba,272671,Two For The Road,,Uptown,41.96792,-87.65757,Private room,180,2,146,2018-10-14,1.49,4,327
84042,The Explorer Room,334241,Michael And Veronica,,West Town,41.89693,-87.68033,Private room,55,3,54,2019-03-26,0.55,2,104
110705,Fab Value!/ Spa /Deck/ARAGON/RIVIERA/TRAIN/CUBS/,272671,Two For The Road,,Uptown,41.9693,-87.65621,Private room,99,2,132,2018-11-18,1.37,4,325
